MeterCategory,Cost,Quantity,Meter,ResourceLocation
Storage,1.1244,263.02,General Purpose v2 Transactions,East US
SQL Database,5.0063,60.72,Basic DTU,East US
Azure Monitor,5.7031,127.44,Data Ingestion,Central India
Azure App Service,5.4473,58.81,Basic Plan,Central India
Azure Monitor,4.4347,369.75,Data Ingestion,Central India
SQL Database,2.8583,79.65,Basic DTU,West Europe
SQL Database,2.6904,245.61,Basic DTU,East US
Azure App Service,6.6701,425.71,Basic Plan,Southeast Asia
Azure Monitor,4.9911,53.53,Data Ingestion,Southeast Asia
Azure Monitor,1.4104,143.08,Data Ingestion,Central India
Virtual Machines,2.2666,253.66,B-Series Compute Hours,Southeast Asia
SQL Database,1.5091,268.5,Basic DTU,Central India
Virtual Machines,4.9997,388.93,B-Series Compute Hours,East US
SQL Database,2.4197,468.09,Basic DTU,Southeast Asia
Virtual Machines,13.5877,228.43,B-Series Compute Hours,East US
Azure Monitor,1.8246,72.37,Data Ingestion,East US
Virtual Machines,6.8637,429.44,B-Series Compute Hours,Central India
Azure Monitor,2.1148,331.3,Data Ingestion,West Europe
Azure Monitor,4.1918,167.49,Data Ingestion,Central India
SQL Database,2.7152,229.82,Basic DTU,Central India
SQL Database,2.8427,416.3,Basic DTU,Southeast Asia
Azure App Service,721.24,671.4,Premium v3 Plan,West Europe
Virtual Machines,13.3201,355.08,B-Series Compute Hours,East US
Azure Monitor,5.4042,374.56,Data Ingestion,Central India
Virtual Machines,6.1237,320.8,B-Series Compute Hours,Southeast Asia
SQL Database,1.3294,498.52,Basic DTU,Central India
Azure Monitor,3.2131,42.97,Data Ingestion,Southeast Asia
Virtual Machines,13.9102,50.46,B-Series Compute Hours,East US
Azure Monitor,0.6367,278.04,Data Ingestion,Central India
Azure App Service,4.9502,11.78,Basic Plan,Southeast Asia
Virtual Machines,7.8711,202.61,B-Series Compute Hours,East US
Storage,3.0695,434.0,General Purpose v2 Transactions,Southeast Asia
Storage,1.5794,459.3,General Purpose v2 Transactions,West Europe
Azure Monitor,5.8213,163.59,Data Ingestion,Southeast Asia
Azure App Service,6.2841,425.29,Basic Plan,Central India
Azure Monitor,3.2068,300.2,Data Ingestion,Central India
Azure App Service,8.0266,230.0,Basic Plan,Southeast Asia
Virtual Machines,14.987,333.18,B-Series Compute Hours,East US
Virtual Machines,14.8062,359.16,B-Series Compute Hours,West Europe
Virtual Machines,4.8638,244.8,B-Series Compute Hours,West Europe
SQL Database,892.97,468.08,vCore Provisioned Compute,East US
SQL Database,1.9598,233.89,Basic DTU,Central India
Storage,0.632,336.45,General Purpose v2 Transactions,Southeast Asia
SQL Database,7.7467,298.43,Basic DTU,West Europe
Azure App Service,6.6963,144.79,Basic Plan,Southeast Asia
Azure Monitor,1.1706,294.54,Data Ingestion,Southeast Asia
Azure App Service,8.7089,186.76,Basic Plan,Central India
Virtual Machines,4.6167,418.61,B-Series Compute Hours,Central India
Azure Monitor,5.414,259.91,Data Ingestion,Central India
Storage,591.0,773.36,Premium SSD Managed Disks,Southeast Asia
ExpressRoute,437.16,88.9,Circuit Bandwidth Hours,West Europe
Virtual Machines,5.3449,87.32,B-Series Compute Hours,West Europe
Storage,2.9048,73.42,General Purpose v2 Transactions,Southeast Asia
Azure App Service,5.6147,368.62,Basic Plan,West Europe
Storage,4.4912,70.98,General Purpose v2 Transactions,Central India
Azure Monitor,1.7631,66.78,Data Ingestion,East US
SQL Database,3.2563,183.83,Basic DTU,East US
Azure Monitor,2.1759,214.52,Data Ingestion,West Europe
Azure App Service,8.7095,379.5,Basic Plan,East US
Azure App Service,4.587,458.75,Basic Plan,East US
Virtual Machines,12.1632,234.22,B-Series Compute Hours,Central India
Virtual Machines,1032.42,965.05,D-Series VM Compute Hours,Central India
SQL Database,7.4585,386.28,Basic DTU,Central India
Azure App Service,2.2582,58.15,Basic Plan,Southeast Asia
SQL Database,3.5943,187.72,Basic DTU,Southeast Asia
Azure App Service,3.8459,393.93,Basic Plan,Southeast Asia
Storage,4.552,350.15,General Purpose v2 Transactions,Central India
Azure App Service,2.1889,307.58,Basic Plan,Central India
Storage,0.5412,361.46,General Purpose v2 Transactions,East US
Storage,2.5442,266.17,General Purpose v2 Transactions,West Europe
Azure Monitor,3.0826,95.55,Data Ingestion,West Europe
Azure Monitor,5.1089,21.04,Data Ingestion,Southeast Asia
Azure Monitor,1.1557,67.91,Data Ingestion,West Europe
Storage,1.3144,119.09,General Purpose v2 Transactions,West Europe
Virtual Machines,4.8719,315.51,B-Series Compute Hours,West Europe
Azure App Service,7.6116,97.33,Basic Plan,East US
Azure App Service,8.6681,252.89,Basic Plan,Central India
Virtual Machines,9.9228,43.14,B-Series Compute Hours,Southeast Asia
Virtual Machines,7.4292,209.03,B-Series Compute Hours,East US
Azure App Service,3.5022,351.81,Basic Plan,East US
Storage,2.2139,313.38,General Purpose v2 Transactions,Southeast Asia
Azure Monitor,5.1446,241.8,Data Ingestion,West Europe
Azure App Service,2.4932,418.32,Basic Plan,East US
Virtual Machines,12.7089,28.73,B-Series Compute Hours,East US
Azure App Service,7.0318,381.69,Basic Plan,Southeast Asia
Azure Monitor,1.1516,425.42,Data Ingestion,Central India
Storage,4.7494,458.26,General Purpose v2 Transactions,West Europe
SQL Database,1.2129,308.47,Basic DTU,Southeast Asia
Azure Monitor,3.7694,73.94,Data Ingestion,East US
Azure App Service,2.2367,479.48,Basic Plan,Central India
Azure App Service,1.7446,243.84,Basic Plan,Central India
SQL Database,6.0702,8.33,Basic DTU,West Europe
Storage,2.5536,72.8,General Purpose v2 Transactions,Central India
SQL Database,3.2496,270.22,Basic DTU,East US
Azure Monitor,4.8281,332.76,Data Ingestion,East US
Virtual Machines,1.8656,487.84,B-Series Compute Hours,Southeast Asia
Storage,4.0044,117.09,General Purpose v2 Transactions,Central India
Azure Monitor,3.9742,379.29,Data Ingestion,Central India
Azure Monitor,1.2788,224.67,Data Ingestion,Central India
Azure App Service,9.8363,310.56,Basic Plan,Southeast Asia
Azure Monitor,1.7867,30.09,Data Ingestion,Central India
Azure Kubernetes Service,893.83,323.82,Standard Node Pool Compute Hours,Central India
Virtual Machines,1.8114,448.62,B-Series Compute Hours,Southeast Asia
Azure App Service,8.4681,404.32,Basic Plan,West Europe
Azure App Service,9.7226,389.6,Basic Plan,West Europe
SQL Database,6.219,136.0,Basic DTU,Central India
Virtual Machines,1.1512,218.11,B-Series Compute Hours,East US
SQL Database,1.8098,27.64,Basic DTU,East US
Azure App Service,1.8502,373.65,Basic Plan,West Europe
SQL Database,7.7802,446.67,Basic DTU,West Europe
Storage,4.6904,121.24,General Purpose v2 Transactions,West Europe
Virtual Machines,8.6918,286.64,B-Series Compute Hours,East US
SQL Database,5.9726,276.94,Basic DTU,West Europe
Virtual Machines,11.8665,332.49,B-Series Compute Hours,Southeast Asia
Virtual Machines,4.9073,16.38,B-Series Compute Hours,Southeast Asia
Azure Monitor,5.4646,489.81,Data Ingestion,Central India
Storage,2.3019,136.85,General Purpose v2 Transactions,Southeast Asia
Azure App Service,7.9481,331.17,Basic Plan,West Europe
Virtual Machines,7.3052,76.19,B-Series Compute Hours,West Europe
SQL Database,4.9954,437.41,Basic DTU,East US
Azure App Service,7.1264,197.42,Basic Plan,Southeast Asia
Virtual Machines,10.0616,363.77,B-Series Compute Hours,West Europe
Azure Monitor,5.7409,146.17,Data Ingestion,West Europe
SQL Database,0.8261,91.57,Basic DTU,Central India
Azure Monitor,0.7058,277.87,Data Ingestion,East US
Azure Monitor,1.1806,463.85,Data Ingestion,East US
SQL Database,0.8121,247.5,Basic DTU,West Europe
Virtual Machines,2.2361,59.43,B-Series Compute Hours,Central India
SQL Database,0.7704,209.78,Basic DTU,West Europe
Storage,0.2216,463.8,General Purpose v2 Transactions,East US
Azure App Service,4.8888,314.03,Basic Plan,Southeast Asia
Azure App Service,1.8255,92.58,Basic Plan,East US
Azure App Service,2.3886,341.84,Basic Plan,East US
Azure Monitor,3.6961,100.69,Data Ingestion,Southeast Asia
SQL Database,5.434,209.89,Basic DTU,East US
Virtual Machines,9.7034,277.24,B-Series Compute Hours,Central India
Azure App Service,4.4873,144.88,Basic Plan,Central India
SQL Database,5.2597,206.49,Basic DTU,Southeast Asia
Azure App Service,5.7037,382.2,Basic Plan,West Europe
Azure Monitor,4.0892,402.39,Data Ingestion,Central India
Virtual Machines,9.1084,391.53,B-Series Compute Hours,Central India
SQL Database,2.7947,290.03,Basic DTU,East US
SQL Database,6.6707,222.26,Basic DTU,Southeast Asia
Storage,4.3021,231.94,General Purpose v2 Transactions,Southeast Asia
Azure App Service,4.9344,416.51,Basic Plan,Southeast Asia
Storage,4.5448,23.28,General Purpose v2 Transactions,East US
Storage,634.6,873.46,Blob Storage Hot Tier,East US
SQL Database,3.346,343.19,Basic DTU,West Europe
SQL Database,1.8313,170.09,Basic DTU,Southeast Asia
Storage,1.5766,289.43,General Purpose v2 Transactions,Central India
SQL Database,2.8065,299.64,Basic DTU,West Europe
Azure App Service,3.4028,166.45,Basic Plan,West Europe
Azure Monitor,0.7709,187.43,Data Ingestion,West Europe
Azure App Service,6.8431,470.36,Basic Plan,Southeast Asia
SQL Database,5.2967,133.97,Basic DTU,West Europe
Azure App Service,9.6006,143.94,Basic Plan,Southeast Asia
Azure Monitor,4.7917,240.21,Data Ingestion,Central India
Storage,1.1515,204.86,General Purpose v2 Transactions,West Europe
Virtual Machines,3.4349,347.7,B-Series Compute Hours,Southeast Asia
Virtual Machines,12.5511,77.49,B-Series Compute Hours,East US
Azure App Service,9.6259,497.74,Basic Plan,West Europe
Azure App Service,2.1243,252.76,Basic Plan,East US
Azure Monitor,5.6487,219.51,Data Ingestion,East US
Virtual Machines,3.6556,294.56,B-Series Compute Hours,West Europe
Storage,3.9194,321.6,General Purpose v2 Transactions,Central India
Azure App Service,8.3262,84.32,Basic Plan,West Europe
Azure Monitor,2.5394,463.46,Data Ingestion,West Europe
Virtual Machines,2.0355,71.03,B-Series Compute Hours,Southeast Asia
Virtual Machines,2.5956,52.6,B-Series Compute Hours,West Europe
Virtual Machines,4.9999,72.79,B-Series Compute Hours,Central India
Azure App Service,5.2813,114.23,Basic Plan,East US
Azure Monitor,5.1717,29.56,Data Ingestion,East US
Azure Monitor,0.9403,377.91,Data Ingestion,West Europe
